species,type,genus,name,hexcode,species_name,decade,pct_abundance,species_id,bar_order
Other...122,Ostracode,Other,Ostracode,#e7f0e7,NA,300,0,species_56,4
Palmenella limicola ,Ostracode,Palmenella,Ostracode,#e7f0e7,NA,300,0,species_27,4
Paracyprideis pseudo,Ostracode,Paracyprideis,Paracyprideis,#729C9D,P. pseudopunctillata,300,37.89746611222528,species_28,3
Planktic,Foram,Planktic,Foram,#e7f0e7,NA,300,0,species_46,4
Polymorphinids,Foram,Polymorphinids,Foram,#e7f0e7,NA,300,0.7347560975609756,species_9,4
Pyrgo williamsoni,Foram,Pyrgo,Foram,#e7f0e7,NA,300,0,species_10,4
Quinqueloculina arctica,Foram,Quinqueloculina,Foram,#e7f0e7,NA,300,0,species_61,4
Quinqueloculina seminulem,Foram,Quinqueloculina,Foram,#e7f0e7,NA,300,0,species_29,4
Rabilimis mirabilis ,Ostracode,Rabilimis,Ostracode,#e7f0e7,NA,300,1.3405924364828474,species_30,4
Robertinoides,Foram,Robertinoides,Foram,#e7f0e7,NA,300,0,species_50,4
Robertsonites tuberc,Ostracode,Robertsonites,Ostracode,#e7f0e7,NA,300,0,species_57,4
Roundstonia globulif,Ostracode,Roundstonia,Ostracode,#e7f0e7,NA,300,0,species_35,4
Sarsicytheridea brad,Ostracode,Sarsicytheridea,Ostracode,#e7f0e7,NA,300,0.9649848359525778,species_38,4
Schizocythere ikeyai,Ostracode,Schizocythere,Ostracode,#e7f0e7,NA,300,0,species_59,4
Sclerochilus spp....,Ostracode,Sclerochilus,Ostracode,#e7f0e7,NA,300,0,species_54,4
Semicytherura compla,Ostracode,Semicytherura,Ostracode,#e7f0e7,NA,300,0.21367521367521367,species_31,4
Semicytherura spp...,Ostracode,Semicytherura,Ostracode,#e7f0e7,NA,300,0,species_42,4
Spiroplectammina biformis,Foram,Spiroplectammina,Spiroplectammina,#dd605a,S. biformis,300,0.125,species_11,6
Spiroplectammina earlandi,Foram,Spiroplectammina,Spiroplectammina,#dd605a,NA,300,0,species_51,6
Stainforthia loeblichi,Foram,Stainforthia,Foram,#e7f0e7,NA,300,1.125,species_12,4
Stanforthia feylingi,Foram,Stanforthia,Foram,#e7f0e7,NA,300,1.8445121951219512,species_13,4
Textularia torquata,Foram,Textularia,Foram,#e7f0e7,NA,300,0,species_44,4
Triloculina frigida,Foram,Triloculina,Foram,#e7f0e7,NA,300,0,species_14,4
Trochammina,Foram,Trochammina,Foram,#e7f0e7,NA,300,0.6097560975609756,species_15,4
Acanthocythereis dun,Ostracode,Acanthocythereis,Ostracode,#e7f0e7,NA,400,0.5952380952380952,species_16,4
Agglutinated indet.,Foram,Agglutinated,Foram,#e7f0e7,NA,400,0,species_45,4
Argilloecia spp....6,Ostracode,Argilloecia,Ostracode,#e7f0e7,NA,400,0,species_47,4
Biserial Foram,Foram,Biserial,Foram,#e7f0e7,NA,400,0,species_48,4
Bolivina arctica,Foram,Bolivina,Foram,#e7f0e7,NA,400,0,species_62,4
Buccella frigida,Foram,Buccella,Foram,#e7f0e7,NA,400,1.2462815860874112,species_1,4
Bythocythere constri,Ostracode,Bythocythere,Ostracode,#e7f0e7,NA,400,0,species_17,4
Cassidulina reniforme,Foram,Cassidulina,Cassidulina,#3c475a,C. reniforme,400,17.01153934163643,species_2,2
Cassidulina teretis,Foram,Cassidulina,Cassidulina,#3c475a,NA,400,12.982576574809585,species_3,2
Cluthia cluthae (Bra,Ostracode,Cluthia,Ostracode,#e7f0e7,NA,400,1.1904761904761905,species_18,4
Cyclogyra,Foram,Cyclogyra,Foram,#e7f0e7,NA,400,0.0809061488673139,species_39,4
Cytheromorpha macche,Ostracode,Cytheromorpha,Ostracode,#e7f0e7,NA,400,0,species_32,4
Cytheropteron arctic,Ostracode,Cytheropteron,Ostracode,#e7f0e7,NA,400,0,species_55,4
Cytheropteron biconv,Ostracode,Cytheropteron,Ostracode,#e7f0e7,NA,400,0.5952380952380952,species_40,4
Cytheropteron elaeni,Ostracode,Cytheropteron,Ostracode,#e7f0e7,NA,400,2.976190476190476,species_19,4
Cytheropteron inflat,Ostracode,Cytheropteron,Ostracode,#e7f0e7,NA,400,0,species_52,4
Cytheropteron montro,Ostracode,Cytheropteron,Ostracode,#e7f0e7,NA,400,0,species_36,4
Cytheropteron nodoso,Ostracode,Cytheropteron,Ostracode,#e7f0e7,NA,400,0,species_58,4
Cytheropteron parala,Ostracode,Cytheropteron,Ostracode,#e7f0e7,NA,400,0,species_53,4
Cytheropteron spp...,Ostracode,Cytheropteron,Ostracode,#e7f0e7,NA,400,0,species_37,4
Dentalina,Foram,Dentalina,Foram,#e7f0e7,NA,400,0,species_49,4
E. subarcticum,Foram,Elphidium,Elphidium,#697a93,NA,400,0.08417508417508418,species_20,1
Elofsonella concinna,Ostracode,Elofsonella,Ostracode,#e7f0e7,NA,400,0,species_21,4
Elphidiella groenlandica,Foram,Elphidiella,Foram,#e7f0e7,NA,400,0,species_22,4
